what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1363817509697
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363817512833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363817514299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363817516187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363817564631
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363817565192
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363817566784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363817578062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363817578218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363817578905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363817579950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363817781636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363817813977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363817870510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363818107140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363818131929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363818140992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363818143832
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363818143878
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363818143925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363818225451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363818269302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363818274419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363818275215
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363818275277
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363818275324
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363818282266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363818308443
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363818322218
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363818325041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363818349174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363818351904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363818422978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363818512614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363818635386
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363818642110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363818644263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363818649910
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363818649941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363818665947
