2013-04-11 18:09:33.982 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.982 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.edit.MultiplicityDirectEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.982 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.984 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.985 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.edit.MultiplicityDirectEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.985 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.986 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.987 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.988 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.989 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.edit.MultiplicityDirectEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.989 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.990 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.990 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.edit.MultiplicityDirectEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.991 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.992 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.993 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.994 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.995 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.997 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.998 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.edit.MultiplicityDirectEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:33.998 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.000 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.000 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.edit.MultiplicityDirectEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.001 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.001 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.edit.MultiplicityDirectEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.002 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.003 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.004 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.005 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.005 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.006 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.007 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.007 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.008 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.edit.MultiplicityDirectEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.008 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.009 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.009 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.010 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.011 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.014 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.doc.TextLinkCreationEditPolicy in [], no license for [com.objectaid.uml.addon]
2013-04-11 18:09:34.014 [main] WARNING com.objectaid.uml.util.EclipseHelper loadClass: cannot find com.objectaid.uml.addon.edit.MultiplicityDirectEditPolicy in [], no license for [com.objectaid.uml.addon]
